"filename", "language", "YAML", "Dart", "Markdown", "CSS", "JavaScript", "JSON", "Swift", "C++", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\init\lang\locale_keys.g.dart", "Dart", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 131
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\init\router\app_router.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\init\theme\app_theme.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\init\theme\light_theme\light_theme.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 79
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\init\theme\light_theme\light_theme_colors.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\utility\asset_utils\compress_utils.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 50
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\utility\report_utils\report_service.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\utility\router\app_router.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\utility\widget_utility\fav_button_service.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\gen\assets.gen.dart", "Dart", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 49, 227
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\main.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 103
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\auth\onboard\view\onboarding.dart", "Dart", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 162
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\auth\onboard\view\onboarding_one_view.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 47
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\auth\onboard\view\onboarding_three_view.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 48
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\auth\onboard\view\onboarding_two_view.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 48
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\auth\onboard\viewmodel\onboarding_view_model.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\auth\service\auth_service.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\auth\view\login_view.dart", "Dart", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 158
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\auth\view\register_view.dart", "Dart", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 180
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\auth\viewmodel\login_view_model.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\auth\viewmodel\register_view_model.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\core\components\help_me_widget.dart", "Dart", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\core\models\help_me_model.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\view\help_me_control.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\view\help_me_detail_view.dart", "Dart", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 150
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\view\help_me_home_view.dart", "Dart", 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 163
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\view\help_me_view.dart", "Dart", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 234
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\viewmodel\help_me_detail_view_view_model.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 46
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\viewmodel\help_me_detail_view_view_model.g.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 44
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\viewmodel\help_me_home_view_view_model.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\viewmodel\help_me_home_view_view_model.g.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 19
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\viewmodel\help_me_view_view_model.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 101
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\help_me\viewmodel\help_me_view_view_model.g.dart", "Dart", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 119
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\core\components\chat_widgets\user_chat.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 51
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\core\components\pet_widgets\large_pet_widget.dart", "Dart", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 223
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\core\components\pet_widgets\normal_pet_widget.dart", "Dart", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 190
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\service\chat_service\chat_service.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\service\firebase_crud\crud_service.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 41
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\service\models\jsons\city_model.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\service\models\pet_model.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\service\storage_service.dart\storage_crud.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\view\add_view.dart", "Dart", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 189
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\view\add_view_two.dart", "Dart", 0, 373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 418
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\view\chat_select_view.dart", "Dart", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 109
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\view\city_select_view.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 36
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\view\favorites_view.dart", "Dart", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 136
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\view\ilce_select_view.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 44
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\view\in_chat_view.dart", "Dart", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 213
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\view\patilla.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 116
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\view\user\apps\patilla\view\other_profile_view.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 107
