"filename", "language", "YAML", "Dart", "Markdown", "JSON", "Groovy", "HTML", "XML", "C++", "Swift", "Properties", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\project_icon_sizes.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\project_padding.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\project_radius.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\app_firestore_field_names.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\locale_constants.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\project_firestore_collection_names.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 10
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\project_lottie_urls.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\shared_preferences_key_constants.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_view\profile_view\profile_view.dart", "Dart", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 124
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_view\profile_view\profile_view_model.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\button.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\dialogs\default_dialog.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\dialogs\error_dialog.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\single_message.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\textfields\auth_textfield.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\textfields\main_textfield.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\main.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 20, 9, 81
