"filename", "language", "JSON", "XML", "HTML", "Dart", "Markdown", "YAML", "Groovy", "Properties", "C++", "Swift", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\onboard\view\onboarding.dart", "Dart", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 3, 20, 160
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\onboard\view\onboarding_one_view.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 6, 47
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\onboard\view\onboarding_three_view.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 7, 48
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\onboard\view\onboarding_two_view.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 7, 48
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\onboard\viewmodel\onboarding_view_model.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\service\auth_service.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\view\login_view.dart", "Dart", 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 1, 19, 176
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\view\register_view.dart", "Dart", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 1, 20, 158
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\viewmodel\login_view_model.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\viewmodel\register_view_model.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
